Teams,Coordinates,Longitude,Latitude
Lions,"-112.014232, 33.508746",-112.014232, 33.508746
Packers,"-112.014232, 33.508746",-112.014232, 33.508746
Lions,"-112.014232, 33.508746",-112.014232, 33.508746
Bears,"-81.046876, 35.001706",-81.046876, 35.001706
Vikings,"-93.329515, 44.889964",-93.329515, 44.889964
Jets,"-96.85743, 32.997151",-96.85743, 32.997151
Jets,"-74.041878, 40.570842",-74.041878, 40.570842
Vikings,"-93.329515, 44.889964",-93.329515, 44.889964
Browns,"-73.962582, 40.541722",-73.962582, 40.541722
Titans,"-73.962582, 40.541722",-73.962582, 40.541722
Cowboys,"-93.290637, 45.035336",-93.290637, 45.035336
Bills,"-97.239256, 43.499362",-97.239256, 43.499362
Steelers,"-85.605166, 30.355644",-85.605166, 30.355644
Saints,"-82.588866, 27.293114",-82.588866, 27.293114
Broncos,"-114.316038, 50.84278",-114.316038, 50.84278
Patriots,"-71.177553, 42.135115",-71.177553, 42.135115
49ers,"-88.139804, 44.47174",-88.139804, 44.47174
Panthers,"-75.280284, 39.871811",-75.280284, 39.871811
Cowboys,"-95.846367, 29.676113",-95.846367, 29.676113
Giants,"-95.846367, 29.676113",-95.846367, 29.676113
Ravens,"-76.976222, 39.448205",-76.976222, 39.448205
Bills,"-76.976222, 39.448205",-76.976222, 39.448205
Packers,"-79.487651, 37.886607",-79.487651, 37.886607
Redskins,"-79.487651, 37.886607",-79.487651, 37.886607
Bears,"-89.671507, 42.581987",-89.671507, 42.581987
Bills,"-97.239256, 43.499362",-97.239256, 43.499362
Texans,"-80.203991, 26.320692",-80.203991, 26.320692
Redskins,"-73.701496, 40.582128",-73.701496, 40.582128
Bears,"-89.671507, 42.581987",-89.671507, 42.581987
Broncos,"-117.243028, 41.987982",-117.243028, 41.987982
Lions,"-117.243028, 41.987982",-117.243028, 41.987982
Jets,"-117.243028, 41.987982",-117.243028, 41.987982
Steelers,"-117.243028, 41.987982",-117.243028, 41.987982
Redskins,"-117.243028, 41.987982",-117.243028, 41.987982
Ravens,"-74.026675, 40.683935",-74.026675, 40.683935
Broncos,"-74.026675, 40.683935",-74.026675, 40.683935
Bears,"-77.119401, 38.801826",-77.119401, 38.801826
Cowboys,"-77.119401, 38.801826",-77.119401, 38.801826
Cowboys,"-99.315748, 19.087511",-99.315748, 19.087511
Chiefs,"-99.315748, 19.087511",-99.315748, 19.087511
Eagles,"-99.315748, 19.087511",-99.315748, 19.087511
Bears,"-87.940033, 41.644102",-87.940033, 41.644102
Raiders,"-115.384091, 36.129459",-115.384091, 36.129459
Raiders,"-115.384091, 36.129459",-115.384091, 36.129459
Rams,"-87.940033, 41.644102",-87.940033, 41.644102
Raiders,"-115.384091, 36.129459",-115.384091, 36.129459
Lions,"-112.014232, 33.508746",-112.014232, 33.508746
Jets,"-74.272957, 40.834792",-74.272957, 40.834792
Seahawks,"-74.272957, 40.834792",-74.272957, 40.834792
Patriots,"-71.251746, 42.183173",-71.251746, 42.183173
49ers,"-97.928935, 30.127892",-97.928935, 30.127892
Cowboys,"-89.57151, 36.497129",-89.57151, 36.497129
